Type	RepeatMissing	RepeatNon-Missing	Non-RepeatMissing	Non-RepeatNon-Missing
NW_021638082	4556	16997	421	15806
NW_021638083	35911	11015	426	158
NW_021638084	869	7716	2966	23908
NW_021638085	1598	21820	141	32487
NW_021638086	73478	22810	7496	6192
NW_021638087	16669	30622	1243	8603
NW_021638088	509	41566	21	17716
NW_021638089	9789	12082	6815	8477
NW_021638090	19222	26683	438	1576
NW_021638091	0	8113	0	17490
NW_021638092	4697	15203	1309	16383
NW_021638093	18714	3923	866	7
NW_021638094	6724	15683	286	21956
NW_021638095	8707	14566	251	131
NW_021638096	9234	22699	1353	3516
NW_021638097	13643	1250	6923	400
NW_021638098	7346	14256	246	498
NW_021638099	1244	16935	92	5405
NW_021638100	1550	23960	958	20941
NW_021638101	3309	12756	2570	20732
NW_021638102	2789	40990	58	5843
NW_021638103	5821	11376	1524	8601
NW_021638104	7172	17588	276	15382
NW_021638105	24283	1578	1466	77
NW_021638106	10172	11198	512	1437
NW_021638107	22898	1224	46648	3087
NW_021638108	6103	143	11938	2059
NW_021638109	8551	21995	735	2668
NW_021638110	35303	31841	14766	9795
NW_021638111	5130	14002	1100	3678
NW_021638112	2876	10869	4346	14698
NW_021638113	6348	20569	633	8042
NW_021638114	12815	20003	7594	31292
NW_021638115	567	18930	70	5839
NW_021638116	80753	392931	14677	253118
NW_021638117	5512	13686	7081	17093
NW_021638118	14070	5467	740	136
NW_021638119	93908	151701	11419	71395
NW_021638120	2403	31630	18	12466
NW_021638121	2323	26825	372	30357
NW_021638122	3190	12371	0	22450
NW_021638123	16124	287	12376	631
NW_021638124	0	14288	0	16505
NW_021638125	17395	15935	408	111
NW_021638126	42740	40203	784	758
NW_021638127	9592	30047	2223	14401
NW_021638128	13361	29490	1824	4407
NW_021638129	25533	19776	777	922
NW_021638130	5257	34816	1566	17205
NW_021638131	55174	17361	982	92
NW_021638132	25518	47210	862	960
NW_021638133	16570	6141	989	421
NW_021638134	9378	30837	193	214
NW_021638135	0	14464	0	7582
NW_021638136	22340	393	30427	1179
NW_021638137	14	22504	16	4288
NW_021638138	13097	21546	391	517
NW_021638139	164819	66077	4144	2679
NW_021638140	8258	5309	10065	6923
NW_021638141	1121	20529	150	933
NW_021638142	15100	39542	173	659
NW_021638143	17757	4720	1512	317
NW_021638144	39921	11386	3695	845
NW_021638145	8654	1056	12483	1948
NW_021638146	16333	90108	3834	64397
NW_021638147	20017	18531	606	105
NW_021638148	3151	14339	488	6304
NW_021638149	12385	18731	392	970
NW_021638150	1758	12013	66	16959
NW_021638151	14929	16272	1009	2837
NW_021638152	4897	18035	463	2031
NW_021638153	11	17333	0	7587
NW_021638154	3558	21695	113	900
NW_021638155	17465	20187	3913	5761
NW_021638156	4825	16228	180	16341
NW_021638157	296	8095	53	12097
NW_021638158	27534	6053	7944	9354
NW_021638159	10856	12949	1173	1857
NW_021638160	28732	30582	2649	4179
NW_021638161	36267	218938	10411	194178
NW_021638162	16547	14354	509	567
NW_021638163	2448	13247	2065	23715
NW_021638164	4328	18431	1180	18087
NW_021638165	12321	18248	3220	6721
NW_021638166	14993	11805	14049	21769
NW_021638167	5175	18795	349	420
NW_021638168	19632	23803	2600	3543
NW_021638169	45126	27487	3778	4764
NW_021638170	17152	2097	16347	1171
NW_021638171	19375	27638	975	4705
NW_021638172	59013	196013	20457	145681
NW_021638173	10879	18152	169	354
NW_021638174	11334	15362	60	0
NW_021638175	9007	10980	556	287
NW_021638176	38844	16859	690	568
NW_021638177	1898	17255	1549	12004
NW_021638178	6609	0	7875	0
NW_021638179	8851	219	11868	685
NW_021638180	3019	30661	1322	14517
NW_021638181	9748	15513	1326	2476
NW_021638182	460	15250	467	30380
NW_021638183	11533	1022	13819	2260
NW_021638184	23369	11008	544	52
NW_021638185	736	18497	566	9275
NW_021638186	386	7400	347	19064
NW_021638187	7586	32312	418	13120
NW_021638188	12098	21278	1103	2370
NW_021638189	8869	9928	2976	6898
NW_021638190	543	13605	213	7907
NW_021638191	16295	2561	2417	306
NW_021638192	0	15846	0	19692
NW_021638193	4083	10991	3161	15620
NW_021638194	16425	29794	264	1057
NW_021638195	12758	12840	2725	5496
NW_021638196	32988	12011	969	114
NW_021638197	2511	9937	7	10301
NW_021638198	1230	20897	1020	24088
NW_021638199	5543	4566	1047	977
NW_021638200	7499	8513	3759	5676
NW_021638201	5592	11112	4274	7042
NW_021638202	6820	16371	1690	6891
NW_021638203	17246	91157	6638	105685
NW_021638204	3029	40855	306	6250
NW_021638205	12089	18044	2266	19463
NW_021638206	15408	7747	1497	2509
NW_021638207	4756	38634	1400	40519
NW_021638208	7396	885	11882	2073
NW_021638209	4707	17089	4961	19081
NW_021638210	8366	14708	3205	17107
NW_021638211	20924	21838	556	704
NW_021638212	6619	12720	919	13159
NW_021638213	1218	15079	50	8461
NW_021638214	13909	12942	514	688
NW_021638215	1321	19066	21	11047
NW_021638216	27158	4840	1275	93
NW_021638217	12107	12276	1940	7422
NW_021638218	11094	33749	914	11094
NW_021638219	1166	17857	1075	12165
NW_021638220	502	19805	81	10530
NW_021638221	38861	95270	8335	86191
NW_021638222	5542	10575	6770	14158
NW_021638223	9499	31511	61	191
NW_021638224	689	24781	607	29525
NW_021638225	127123	264480	14244	420258
NW_021638226	2118	18319	93	7175
NW_021638227	20825	155	21783	972
NW_021638228	6557	28221	177	258
NW_021638229	28220	74964	11087	40382
NW_021638230	40086	1454	62905	4631
NW_021638231	21796	16351	1026	624
NW_021638232	1274	16435	0	15145
NW_021638233	35086	14172	3374	1555
NW_021638234	10636	9071	758	683
NW_021638235	22694	693	5229	182
NW_021638236	11193	14674	2014	1902
NW_021638237	6201	17381	47	302
NW_021638238	12089	8510	2851	2866
NW_021638239	6344	20249	403	1511
NW_021638240	967	14493	66	6241
NW_021638241	3014	17875	282	1223
NW_021638242	99272	206521	23209	90770
NW_021638243	108386	159580	12899	37957
NW_021638244	9319	15300	254	190
NW_021638245	17938	1762	14670	1275
NW_021638246	13990	15635	301	959
NW_021638247	16967	28655	297	781
NW_021638248	6147	14777	426	9710
NW_021638249	65	5966	35	5158
NW_021638250	6	13679	113	16025
NW_021638251	786	12886	74	11914
NW_021638252	3643	11810	6	10214
NW_021638253	37061	75763	8707	56139
NW_021638254	85130	52857	18543	14536
NW_021638255	1	6552	4	17211
NW_021638256	16736	1765	1837	10
NW_021638257	17887	60067	4071	66077
NW_021638258	1656	13066	50	8744
NW_021638259	10903	19482	427	200
NW_021638260	7097	17702	373	809
NW_021638261	11026	750	13621	2624
NW_021638262	11529	8824	170	6
NW_021638263	11274	28584	2001	9036
NW_021638264	33629	5249	934	474
NW_021638265	7029	23857	1151	10239
NW_021638266	331	13080	288	9631
NW_021638267	13710	93	25030	546
NW_021638268	318	21551	45	17163
NW_021638269	188396	545965	53148	278941
NW_021638270	18269	259518	1995	172013
NW_021638271	727802	1182205	167675	911981
NW_021638272	388230	461136	81157	466969
NW_021638273	9520	11648	7769	10943
NW_021638274	7946	26898	1218	4854
NW_021638275	1149	16269	21	19006
NW_021638276	107656	345958	31866	257612
NW_021638277	9588	18396	991	3105
NW_021638278	416544	751355	157723	785483
NW_021638279	828	18911	57	1009
NW_021638280	14071	5443	2829	6208
