Type	CodingMissing	CodingNon-Missing	Non-CodingMissing	Non-CodingNon-Missing
NW_021638058	0	0	21980	16613
NW_021638059	0	0	30995	61100
NW_021638060	266	1633	1684	23432
NW_021638061	0	0	16257	17333
NW_021638062	0	11079	363389	1363253
NW_021638063	0	4518	21018	857949
NW_021638064	0	0	5942	44032
NW_021638065	0	0	60424	6267
NW_021638066	0	2787	562	92146
NW_021638067	0	6504	228849	390465
NW_021638068	0	0	18198	29530
NW_021638069	0	0	13308	41556
NW_021638070	0	0	1832	26404
NW_021638071	0	0	34352	5916
NW_021638072	0	0	152731	61967
NW_021638073	0	0	9949	27371
NW_021638074	0	0	11845	27984
NW_021638075	403	2102	3534	39223
NW_021638076	0	0	23267	643
NW_021638077	0	0	8510	32227
NW_021638078	0	0	3371	49953
NW_021638079	65122	241589	580159	3321492
NW_021638080	0	0	25617	3111
NW_021638081	0	0	7301	24780
NW_021638082	0	0	4977	32803
NW_021638083	0	0	36337	11173
NW_021638084	0	0	3835	31624
NW_021638085	1	7376	1738	46931
NW_021638086	0	0	80974	29002
NW_021638087	0	0	17912	39225
NW_021638088	0	0	530	59282
NW_021638089	1697	1469	14907	19090
NW_021638090	0	0	19660	28259
NW_021638091	0	0	0	25603
NW_021638092	0	0	6006	31586
NW_021638093	0	0	19580	3930
NW_021638094	0	0	7010	37639
NW_021638095	0	0	8958	14697
NW_021638096	0	0	10587	26215
NW_021638097	0	0	20566	1650
NW_021638098	0	0	7592	14754
NW_021638099	0	0	1336	22340
NW_021638100	0	0	2508	44901
NW_021638101	162	483	5717	33005
NW_021638102	0	0	2847	46833
NW_021638103	0	0	7345	19977
NW_021638104	0	0	7448	32970
NW_021638105	0	0	25749	1655
NW_021638106	0	0	10684	12635
NW_021638107	0	0	69546	4311
NW_021638108	0	0	18041	2202
NW_021638109	0	0	9286	24663
NW_021638110	0	0	50069	41636
NW_021638111	0	0	6230	17680
NW_021638112	357	909	6865	24658
NW_021638113	0	0	6981	28611
NW_021638114	0	0	20409	51295
NW_021638115	0	0	637	24769
NW_021638116	2915	18203	92515	627846
NW_021638117	63	2418	12530	28361
NW_021638118	0	0	14810	5603
NW_021638119	0	678	105327	222418
NW_021638120	0	0	2421	44096
NW_021638121	29	1391	2666	55791
NW_021638122	0	0	3190	34821
NW_021638123	0	0	28500	918
NW_021638124	0	0	0	30793
NW_021638125	0	0	17803	16046
NW_021638126	0	0	43524	40961
NW_021638127	0	0	11815	44448
NW_021638128	0	0	15185	33897
NW_021638129	0	0	26310	20698
NW_021638130	0	0	6823	52021
NW_021638131	0	0	56156	17453
NW_021638132	0	0	26380	48170
NW_021638133	0	0	17559	6562
NW_021638134	0	0	9571	31051
NW_021638135	0	0	0	22046
NW_021638136	0	0	52767	1572
NW_021638137	0	0	30	26792
NW_021638138	0	0	13488	22063
NW_021638139	0	0	168963	68756
NW_021638140	488	238	17835	11994
NW_021638141	0	0	1271	21462
NW_021638142	0	0	15273	40201
NW_021638143	0	0	19269	5037
NW_021638144	0	0	43616	12231
NW_021638145	0	0	21137	3004
NW_021638146	0	0	20167	154505
NW_021638147	0	0	20623	18636
NW_021638148	0	0	3639	20643
NW_021638149	0	0	12777	19701
NW_021638150	0	957	1824	28015
NW_021638151	0	0	15938	19109
NW_021638152	0	0	5360	20066
NW_021638153	0	0	11	24920
NW_021638154	0	0	3671	22595
NW_021638155	0	0	21378	25948
NW_021638156	0	900	5005	31669
NW_021638157	0	0	349	20192
NW_021638158	0	0	35478	15407
NW_021638159	0	0	12029	14806
NW_021638160	0	0	31381	34761
NW_021638161	42	10164	46636	402952
NW_021638162	0	0	17056	14921
NW_021638163	0	0	4513	36962
NW_021638164	0	0	5508	36518
NW_021638165	0	0	15541	24969
NW_021638166	0	0	29042	33574
NW_021638167	0	0	5524	19215
NW_021638168	0	0	22232	27346
NW_021638169	0	0	48904	32251
NW_021638170	3792	142	29707	3126
NW_021638171	0	0	20350	32343
NW_021638172	0	1887	79470	339807
NW_021638173	0	0	11048	18506
NW_021638174	0	0	11394	15362
NW_021638175	0	0	9563	11267
NW_021638176	0	0	39534	17427
NW_021638177	0	0	3447	29259
NW_021638178	0	0	14484	0
NW_021638179	0	0	20719	904
NW_021638180	0	0	4341	45178
NW_021638181	0	0	11074	17989
NW_021638182	0	0	927	45630
NW_021638183	0	0	25352	3282
NW_021638184	0	0	23913	11060
NW_021638185	0	0	1302	27772
NW_021638186	0	0	733	26464
NW_021638187	0	0	8004	45432
NW_021638188	0	0	13201	23648
NW_021638189	0	0	11845	16826
NW_021638190	0	0	756	21512
NW_021638191	0	0	18712	2867
NW_021638192	0	930	0	34608
NW_021638193	0	0	7244	26611
NW_021638194	0	0	16689	30851
NW_021638195	0	0	15483	18336
NW_021638196	0	0	33957	12125
NW_021638197	0	0	2518	20238
NW_021638198	0	0	2250	44985
NW_021638199	0	0	6590	5543
NW_021638200	0	0	11258	14189
NW_021638201	0	0	9866	18154
NW_021638202	0	0	8510	23262
NW_021638203	0	2439	23884	194403
NW_021638204	0	0	3335	47105
NW_021638205	0	0	14355	37507
NW_021638206	0	0	16905	10256
NW_021638207	0	2706	6156	76447
NW_021638208	0	0	19278	2958
NW_021638209	235	562	9433	35608
NW_021638210	702	912	10869	30903
NW_021638211	0	0	21480	22542
NW_021638212	0	0	7538	25879
NW_021638213	0	1065	1268	22475
NW_021638214	0	0	14423	13630
NW_021638215	0	0	1342	30113
NW_021638216	0	0	28433	4933
NW_021638217	0	0	14047	19698
NW_021638218	0	0	12008	44843
NW_021638219	0	0	2241	30022
NW_021638220	0	0	583	30335
NW_021638221	0	0	47196	181461
NW_021638222	0	0	12312	24733
NW_021638223	0	0	9560	31702
NW_021638224	0	780	1296	53526
NW_021638225	0	0	141367	684738
NW_021638226	0	0	2211	25494
NW_021638227	656	106	41952	1021
NW_021638228	0	0	6734	28479
NW_021638229	0	0	39307	115346
NW_021638230	0	0	102991	6085
NW_021638231	0	0	22822	16975
NW_021638232	0	930	1274	30650
NW_021638233	0	0	38460	15727
NW_021638234	0	0	11394	9754
NW_021638235	0	0	27923	875
NW_021638236	0	0	13207	16576
NW_021638237	0	0	6248	17683
NW_021638238	0	0	14940	11376
NW_021638239	0	0	6747	21760
NW_021638240	0	0	1033	20734
NW_021638241	0	0	3296	19098
NW_021638242	0	0	122481	297291
NW_021638243	0	0	121285	197537
NW_021638244	0	0	9573	15490
NW_021638245	0	0	32608	3037
NW_021638246	0	0	14291	16594
NW_021638247	0	0	17264	29436
NW_021638248	0	0	6573	24487
NW_021638249	0	0	100	11124
NW_021638250	0	0	119	29704
NW_021638251	0	0	860	24800
NW_021638252	0	0	3649	22024
NW_021638253	100	1937	45668	129965
NW_021638254	0	0	103673	67393
NW_021638255	0	0	5	23763
NW_021638256	0	0	18573	1775
NW_021638257	43	6500	21915	119644
NW_021638258	0	0	1706	21810
NW_021638259	0	0	11330	19682
NW_021638260	0	0	7470	18511
NW_021638261	0	0	24647	3374
NW_021638262	0	0	11699	8830
NW_021638263	0	0	13275	37620
NW_021638264	0	0	34563	5723
NW_021638265	0	0	8180	34096
NW_021638266	0	1359	619	21352
NW_021638267	0	0	38740	639
NW_021638268	0	0	363	38714
NW_021638269	1175	21448	240369	803458
NW_021638270	0	1335	20264	430196
NW_021638271	3031	12311	892446	2081875
NW_021638272	0	411	469387	927694
NW_021638273	1237	1173	16052	21418
NW_021638274	0	0	9164	31752
NW_021638275	0	0	1170	35275
NW_021638276	389	12277	139133	591293
NW_021638277	0	0	10579	21501
NW_021638278	5863	43712	568404	1493126
NW_021638279	0	0	885	19920
NW_021638280	0	0	16900	11651
