Type	CodingMissing	CodingNon-Missing	Non-CodingMissing	Non-CodingNon-Missing
NW_022045460	0	0	37006	3382
NW_022045461	541	4784	1668	51676
NW_022045462	0	0	61	40473
NW_022045463	431	3415	11478	49919
NW_022045464	0	0	3839	17256
NW_022045465	1157	733	29307	4032
NW_022045466	417	1622	11036	7323
NW_022045467	0	0	19491	2809
NW_022045468	0	0	19144	1426
NW_022045469	19835	4924	330528	77829
NW_022045470	0	0	2719	38399
NW_022045471	1040	3898	10647	38239
NW_022045472	216	2733	3657	42988
NW_022045473	960	0	35033	10008
NW_022045474	32	1801	2407	19878
NW_022045475	179	2449	10213	40719
NW_022045476	0	0	29441	3261
NW_022045477	649	1841	7185	13632
NW_022045478	0	0	19865	8000
NW_022045479	0	927	13040	38939
NW_022045480	1053	1362	18175	11576
NW_022045481	1547	223	32073	11954
NW_022045482	2637	360	225043	21279
NW_022045483	4612	18761	122173	162742
NW_022045484	0	1897	4780	44483
NW_022045485	1928	4350	10049	27838
NW_022045486	348	0	29285	5998
NW_022045487	121	2297	6570	24383
NW_022045488	1073	268	34553	8524
NW_022045489	0	0	14615	6006
NW_022045490	879	60	42893	11353
NW_022045491	276	153	27051	7547
NW_022045492	0	0	22209	10984
NW_022045493	805	0	43856	3110
NW_022045494	0	0	13400	7747
NW_022045495	180	4707	12506	69551
NW_022045496	0	0	20801	650
NW_022045497	4239	321	70801	4721
NW_022045498	1339	3995	15811	23792
NW_022045499	960	0	19901	1039
NW_022045500	2270	8464	13912	39871
NW_022045501	12	441	17439	54304
NW_022045502	2763	5856	48900	57347
NW_022045503	2318	16965	13290	117567
NW_022045504	0	0	41870	2621
NW_022045505	0	0	4777	0
NW_022045506	0	0	18379	4394
NW_022045507	0	0	13160	18689
NW_022045508	0	0	25019	4898
NW_022045509	0	0	2794	20832
NW_022045510	0	0	14091	14612
NW_022045511	0	0	4135	29890
NW_022045512	215	8272	13700	73758
NW_022045513	0	0	8861	54636
NW_022045514	0	678	2271	48587
NW_022045515	0	2803	6926	7230
NW_022045516	225	53	25126	3270
NW_022045517	57	3429	14092	26534
NW_022045518	0	0	40381	6993
NW_022045519	0	0	3211	43363
NW_022045520	1045	4763	8387	15802
NW_022045521	0	0	31667	7442
NW_022045522	0	0	17637	4887
NW_022045523	1232	5317	14844	52244
NW_022045524	2171	1792	63911	30512
NW_022045525	0	951	129	34114
NW_022045526	2313	2889	192101	289341
NW_022045527	159	2001	16369	46121
NW_022045528	938	1846	63252	31521
NW_022045529	0	1215	21245	200095
NW_022045530	30	12086	18730	162024
NW_022045531	0	675	1938	34383
NW_022045532	1932	736	16391	5414
NW_022045533	0	0	2992	23335
NC_044260	43806	689476	321323	14442456
