Type	MissingReadOrGap	MissingNon-ReadOrGap	Non-MissingReadOrGap	Non-MissingNon-ReadOrGap
NW_021638133	17441	118	6562	0
NW_021638134	9571	0	31051	0
NW_021638135	0	0	22046	0
NW_021638136	2546	50221	10	1562
NW_021638137	30	0	26792	0
NW_021638138	13471	17	22055	8
NW_021638139	139227	29736	65987	2769
NW_021638140	4266	14057	8562	3670
NW_021638141	1246	25	21462	0
NW_021638142	15273	0	40201	0
NW_021638143	17030	2239	5037	0
NW_021638144	2782	40834	1884	10347
NW_021638145	776	20361	0	3004
NW_021638146	3011	17156	141938	12567
NW_021638147	20549	74	18636	0
NW_021638148	1832	1807	17806	2837
NW_021638149	12777	0	19701	0
NW_021638150	1600	224	28779	193
NW_021638151	2816	13122	16737	2372
NW_021638152	4811	549	20066	0
NW_021638153	11	0	24920	0
NW_021638154	3622	49	22595	0
NW_021638155	6731	14647	21081	4867
NW_021638156	889	4116	30071	2498
NW_021638157	349	0	20143	49
NW_021638158	6596	28882	13291	2116
NW_021638159	6659	5370	14251	555
NW_021638160	10055	21326	26570	8191
NW_021638161	7644	39034	377568	35548
NW_021638162	16832	224	14921	0
NW_021638163	291	4222	12182	24780
NW_021638164	1291	4217	26916	9602
NW_021638165	1911	13630	18463	6506
NW_021638166	2696	26346	27285	6289
NW_021638167	5524	0	19215	0
NW_021638168	7138	15094	24110	3236
NW_021638169	8739	40165	26520	5731
NW_021638170	359	33140	2046	1222
NW_021638171	6349	14001	31173	1170
NW_021638172	25359	54111	314985	26709
NW_021638173	11020	28	18506	0
NW_021638174	11394	0	15362	0
NW_021638175	9347	216	11210	57
NW_021638176	39103	431	17426	1
NW_021638177	2829	618	24927	4332
NW_021638178	0	14484	0	0
NW_021638179	902	19817	0	904
NW_021638180	2647	1694	41848	3330
NW_021638181	552	10522	16170	1819
NW_021638182	872	55	44989	641
NW_021638183	1352	24000	0	3282
NW_021638184	23513	400	11060	0
NW_021638185	424	878	22460	5312
NW_021638186	733	0	26339	125
NW_021638187	2402	5602	44577	855
NW_021638188	5918	7283	21446	2202
NW_021638189	1479	10366	11305	5521
NW_021638190	707	49	21512	0
NW_021638191	16867	1845	2768	99
NW_021638192	0	0	35538	0
NW_021638193	1345	5899	23480	3131
NW_021638194	15667	1022	30851	0
NW_021638195	1400	14083	16151	2185
NW_021638196	32534	1423	11910	215
NW_021638197	9	2509	20048	190
NW_021638198	94	2156	35825	9160
NW_021638199	3508	3082	1726	3817
NW_021638200	7453	3805	12212	1977
NW_021638201	207	9659	10308	7846
NW_021638202	7246	1264	22721	541
NW_021638203	9745	14139	171380	25462
NW_021638204	3335	0	47105	0
NW_021638205	4820	9535	32212	5295
NW_021638206	5190	11715	8663	1593
NW_021638207	1488	4668	76637	2516
NW_021638208	176	19102	0	2958
NW_021638209	6630	3038	27524	8646
NW_021638210	1610	9961	27604	4211
NW_021638211	20633	847	22520	22
NW_021638212	3934	3604	21573	4306
NW_021638213	265	1003	22150	1390
NW_021638214	11320	3103	12771	859
NW_021638215	1318	24	30113	0
NW_021638216	25034	3399	4850	83
NW_021638217	2382	11665	13250	6448
NW_021638218	4765	7243	41841	3002
NW_021638219	835	1406	26827	3195
NW_021638220	209	374	29358	977
NW_021638221	15976	31220	156351	25110
NW_021638222	3295	9017	23855	878
NW_021638223	9560	0	31702	0
NW_021638224	834	462	53895	411
NW_021638225	45527	95840	286347	398391
NW_021638226	1944	267	25312	182
NW_021638227	1101	41507	0	1127
NW_021638228	6734	0	28479	0
NW_021638229	12707	26600	83170	32176
NW_021638230	3080	99911	0	6085
NW_021638231	22077	745	16975	0
NW_021638232	1274	0	31556	24
NW_021638233	5196	33264	12615	3112
NW_021638234	11271	123	9754	0
NW_021638235	26102	1821	875	0
NW_021638236	1565	11642	5032	11544
NW_021638237	6248	0	17683	0
NW_021638238	1858	13082	9126	2250
NW_021638239	6624	123	21760	0
NW_021638240	238	795	19172	1562
NW_021638241	3296	0	19098	0
NW_021638242	37170	85311	261892	35399
NW_021638243	31099	90186	174394	23143
NW_021638244	9573	0	15490	0
NW_021638245	51	32557	0	3037
NW_021638246	12143	2148	16466	128
NW_021638247	17085	179	29367	69
NW_021638248	3304	3269	20331	4156
NW_021638249	39	61	11110	14
NW_021638250	14	105	27651	2053
NW_021638251	446	414	24640	160
NW_021638252	654	2995	21048	976
NW_021638253	14109	31659	113231	18671
NW_021638254	15105	88568	29149	38244
NW_021638255	5	0	23763	0
NW_021638256	18350	223	1775	0
NW_021638257	4912	17046	89307	36837
NW_021638258	403	1303	18696	3114
NW_021638259	10621	709	19682	0
NW_021638260	7470	0	18511	0
NW_021638261	2484	22163	0	3374
NW_021638262	11546	153	8830	0
NW_021638263	4107	9168	30384	7236
NW_021638264	28542	6021	5723	0
NW_021638265	4763	3417	31751	2345
NW_021638266	3	616	22678	33
NW_021638267	627	38113	0	639
NW_021638268	82	281	37748	966
NW_021638269	102813	138731	781145	43761
NW_021638270	12655	7609	428060	3471
NW_021638271	193143	702334	1567139	527047
NW_021638272	110686	358701	629328	298777
NW_021638273	1791	15498	16103	6488
NW_021638274	3090	6074	29252	2500
NW_021638275	172	998	35275	0
NW_021638276	36719	102803	497106	106464
NW_021638277	2380	8199	16930	4571
NW_021638278	86302	487965	1305173	231665
NW_021638279	885	0	19920	0
NW_021638280	2576	14324	7613	4038
