Type	RepeatMissing	RepeatNon-Missing	Non-RepeatMissing	Non-RepeatNon-Missing
NW_022045447	15913	30749	9819	59762
NW_022045448	2358	29249	68	71778
NW_022045449	309303	98119	223214	135757
NW_022045450	18235	4950	40466	15044
NW_022045451	7047	17611	10944	57552
NW_022045452	0	4199	14	24657
NW_022045453	13034	23135	7557	41273
NW_022045454	1315	6935	601	13060
NW_022045455	4754	19007	3183	63393
NW_022045456	4294	6587	69	10258
NW_022045457	18986	3047	15814	2383
NW_022045458	4213	12841	5863	15366
NW_022045459	1418	4454	5009	17711
NW_022045460	21229	933	15777	2449
NW_022045461	563	13910	1646	42550
NW_022045462	0	6564	61	33909
NW_022045463	8402	17017	3507	36317
NW_022045464	3010	6577	829	10679
NW_022045465	16636	1252	13828	3513
NW_022045466	5006	2639	6447	6306
NW_022045467	9246	1189	10245	1620
NW_022045468	15600	819	3544	607
NW_022045469	203000	33358	147363	49395
NW_022045470	1724	16213	995	22186
NW_022045471	6314	14153	5373	27984
NW_022045472	1702	13257	2171	32464
NW_022045473	19048	4171	16945	5837
NW_022045474	1307	8238	1132	13441
NW_022045475	6417	13604	3975	29564
NW_022045476	12418	1339	17023	1922
NW_022045477	2452	4946	5382	10527
NW_022045478	9384	2826	10481	5174
NW_022045479	10690	17398	2350	22468
NW_022045480	4549	2722	14679	10216
NW_022045481	21348	5147	12272	7030
NW_022045482	92823	3755	134857	17884
NW_022045483	42627	44254	84158	137249
NW_022045484	2284	17673	2496	28707
NW_022045485	3012	8959	8965	23229
NW_022045486	12172	1417	17461	4581
NW_022045487	3214	8586	3477	18094
NW_022045488	12280	2144	23346	6648
NW_022045489	8480	2091	6135	3915
NW_022045490	23258	4236	20514	7177
NW_022045491	8968	2847	18359	4853
NW_022045492	12665	5176	9544	5808
NW_022045493	28931	1634	15730	1476
NW_022045494	3060	3644	10340	4103
NW_022045495	10048	32961	2638	41297
NW_022045496	7161	71	13640	579
NW_022045497	40603	1889	34437	3153
NW_022045498	7033	9213	10117	18574
NW_022045499	12073	615	8788	424
NW_022045500	5940	16399	10242	31936
NW_022045501	12302	19945	5149	34800
NW_022045502	27407	20318	24256	42885
NW_022045503	4203	35004	11405	99528
NW_022045504	26409	1036	15461	1585
NW_022045505	3486	0	1291	0
NW_022045506	11498	2130	6881	2264
NW_022045507	5209	5753	7951	12936
NW_022045508	6786	896	18233	4002
NW_022045509	960	2974	1834	17858
NW_022045510	6670	3192	7421	11420
NW_022045511	704	7977	3431	21913
NW_022045512	8102	27373	5813	54657
NW_022045513	3957	21234	4904	33402
NW_022045514	1254	14792	1017	34473
NW_022045515	5862	1133	1064	8900
NW_022045516	12047	1024	13304	2299
NW_022045517	7577	7123	6572	22840
NW_022045518	21717	3202	18664	3791
NW_022045519	2818	11691	393	31672
NW_022045520	3710	5483	5722	15082
NW_022045521	8689	1699	22978	5743
NW_022045522	10307	1881	7330	3006
NW_022045523	6810	15325	9266	42236
NW_022045524	38946	13348	27136	18956
NW_022045525	125	7113	4	27952
NW_022045526	119730	101150	74684	191080
NW_022045527	9053	17060	7475	31062
NW_022045528	41067	13078	23123	20289
NW_022045529	18077	77048	3168	124262
NW_022045530	9983	51750	8777	122360
NW_022045531	1832	11242	106	23816
NW_022045532	11881	1931	6442	4219
NW_022045533	1697	9354	1295	13981
NC_044260	108477	2609088	256652	12522844
