Type	MissingRead	MissingNon-Read	Non-MissingRead	Non-MissingNon-Read
NW_021638047	256	2322	21375	9501
NW_021638048	75	247	22609	626
NW_021638049	738	3558	16223	4828
NW_021638050	776	25477	0	6897
NW_021638051	2320	0	21583	0
NW_021638052	4953	11606	19433	1833
NW_021638053	11736	54	11715	0
NW_021638054	633	855	19392	418
NW_021638055	659	9109	11666	2677
NW_021638056	25045	840	7082	0
NW_021638057	2550	70105	9	2683
NW_021638058	5926	16054	13163	3450
NW_021638059	7776	23219	54204	6896
NW_021638060	341	1609	22973	2092
NW_021638061	16207	50	17285	48
NW_021638062	75232	288157	985413	388919
NW_021638063	9532	11486	419203	443264
NW_021638064	1324	4618	40282	3750
NW_021638065	3030	57394	0	6267
NW_021638066	98	464	92577	2356
NW_021638067	76809	152040	359188	37781
NW_021638068	10613	7585	27556	1974
NW_021638069	4135	9173	35443	6113
NW_021638070	1234	598	26404	0
NW_021638071	31997	2355	5916	0
NW_021638072	27340	125391	31217	30750
NW_021638073	4858	5091	25337	2034
NW_021638074	11273	572	27984	0
NW_021638075	559	3378	37177	4148
NW_021638076	878	22389	0	643
NW_021638077	8510	0	32227	0
NW_021638078	638	2733	45352	4601
NW_021638079	71188	574093	3196547	366534
NW_021638080	2804	22813	0	3111
NW_021638081	4350	2951	24270	510
NW_021638082	1022	3955	31839	964
NW_021638083	32946	3391	11173	0
NW_021638084	35	3800	28657	2967
NW_021638085	36	1703	52188	2119
NW_021638086	9205	71769	17688	11314
NW_021638087	7421	10491	32889	6336
NW_021638088	508	22	59206	76
NW_021638089	371	16233	17864	2695
NW_021638090	19642	18	28259	0
NW_021638091	0	0	25603	0
NW_021638092	2605	3401	31020	566
NW_021638093	18883	697	3930	0
NW_021638094	6033	977	35079	2560
NW_021638095	8958	0	14697	0
NW_021638096	1904	8683	17638	8577
NW_021638097	2330	18236	0	1650
NW_021638098	7543	49	14754	0
NW_021638099	980	356	18253	4087
NW_021638100	1543	965	43348	1553
NW_021638101	422	5457	31165	2323
NW_021638102	1340	1507	46741	92
NW_021638103	2012	5333	17400	2577
NW_021638104	3931	3517	32320	650
NW_021638105	25348	401	1655	0
NW_021638106	3275	7409	10708	1927
NW_021638107	627	68919	0	4311
NW_021638108	776	17265	0	2202
NW_021638109	7132	2154	24598	65
NW_021638110	5255	44814	34128	7508
NW_021638111	4198	2032	15244	2436
NW_021638112	342	6880	20126	5441
NW_021638113	3104	3877	26748	1863
NW_021638114	5905	14504	46720	4575
NW_021638115	99	538	24537	232
NW_021638116	40579	54851	621508	24541
NW_021638117	1533	11060	16963	13816
NW_021638118	13318	1492	5603	0
NW_021638119	24803	80524	200711	22385
NW_021638120	1747	674	43576	520
NW_021638121	803	1892	56232	950
NW_021638122	1918	1272	34821	0
NW_021638123	1077	27423	0	918
NW_021638124	0	0	30793	0
NW_021638125	17631	172	16046	0
NW_021638126	43276	248	40961	0
NW_021638127	4894	6921	40861	3587
NW_021638128	5632	9553	30771	3126
NW_021638129	26310	0	20698	0
NW_021638130	1002	5821	47334	4687
NW_021638131	54359	1797	17453	0
NW_021638132	26281	99	48170	0
NW_021638133	17441	118	6562	0
NW_021638134	9571	0	31051	0
NW_021638135	0	0	22046	0
NW_021638136	2546	50221	10	1562
NW_021638137	30	0	26792	0
NW_021638138	13471	17	22055	8
NW_021638139	139182	29781	65987	2769
NW_021638140	4266	14057	8562	3670
NW_021638141	1246	25	21462	0
NW_021638142	15273	0	40201	0
NW_021638143	17030	2239	5037	0
NW_021638144	2782	40834	1884	10347
NW_021638145	776	20361	0	3004
NW_021638146	2965	17202	141544	12961
NW_021638147	20549	74	18636	0
NW_021638148	1786	1853	17806	2837
NW_021638149	12777	0	19701	0
NW_021638150	1600	224	28779	193
NW_021638151	2816	13122	16672	2437
NW_021638152	4811	549	20066	0
NW_021638153	11	0	24920	0
NW_021638154	3622	49	22595	0
NW_021638155	6590	14788	20718	5230
NW_021638156	889	4116	30071	2498
NW_021638157	349	0	20143	49
NW_021638158	6596	28882	13291	2116
NW_021638159	6659	5370	14251	555
NW_021638160	10055	21326	26570	8191
NW_021638161	7091	39587	377475	35641
NW_021638162	16832	224	14921	0
NW_021638163	291	4222	7038	29924
NW_021638164	1268	4240	26676	9842
NW_021638165	1911	13630	18352	6617
NW_021638166	2687	26355	27285	6289
NW_021638167	5524	0	19215	0
NW_021638168	7138	15094	24110	3236
NW_021638169	8739	40165	26520	5731
NW_021638170	359	33140	2046	1222
NW_021638171	6260	14090	31173	1170
NW_021638172	24252	55218	314656	27038
NW_021638173	11020	28	18506	0
NW_021638174	11394	0	15362	0
NW_021638175	9347	216	11210	57
NW_021638176	39103	431	17426	1
NW_021638177	2829	618	24358	4901
NW_021638178	0	14484	0	0
NW_021638179	902	19817	0	904
NW_021638180	2488	1853	41800	3378
NW_021638181	552	10522	16170	1819
NW_021638182	872	55	44989	641
NW_021638183	1352	24000	0	3282
NW_021638184	23513	400	11060	0
NW_021638185	424	878	22320	5452
NW_021638186	733	0	26339	125
NW_021638187	2402	5602	44567	865
NW_021638188	5918	7283	21446	2202
NW_021638189	1452	10393	11286	5540
NW_021638190	707	49	21512	0
NW_021638191	16867	1845	2768	99
NW_021638192	0	0	35538	0
NW_021638193	1234	6010	23141	3470
NW_021638194	15667	1022	30851	0
NW_021638195	1400	14083	16151	2185
NW_021638196	32534	1423	11910	215
NW_021638197	9	2509	20048	190
NW_021638198	56	2194	35345	9640
NW_021638199	3508	3082	1726	3817
NW_021638200	7453	3805	12137	2052
NW_021638201	114	9752	7974	10180
NW_021638202	7246	1264	22711	551
NW_021638203	9622	14262	170846	25996
NW_021638204	3335	0	47105	0
NW_021638205	4820	9535	32212	5295
NW_021638206	5190	11715	8663	1593
NW_021638207	1488	4668	76584	2569
NW_021638208	176	19102	0	2958
NW_021638209	6553	3115	27456	8714
NW_021638210	1610	9961	27336	4479
NW_021638211	20633	847	22520	22
NW_021638212	3934	3604	21573	4306
NW_021638213	265	1003	22150	1390
NW_021638214	11320	3103	12771	859
NW_021638215	1318	24	30113	0
NW_021638216	25034	3399	4850	83
NW_021638217	2382	11665	13189	6509
NW_021638218	4765	7243	41775	3068
NW_021638219	527	1714	26827	3195
NW_021638220	114	469	29187	1148
NW_021638221	15909	31287	156209	25252
NW_021638222	3295	9017	23855	878
NW_021638223	9560	0	31702	0
NW_021638224	791	505	53891	415
NW_021638225	45366	96001	285919	398819
NW_021638226	1944	267	25312	182
NW_021638227	1101	41507	0	1127
NW_021638228	6734	0	28479	0
NW_021638229	12707	26600	83031	32315
NW_021638230	3080	99911	0	6085
NW_021638231	22077	745	16975	0
NW_021638232	1274	0	31556	24
NW_021638233	5078	33382	12473	3254
NW_021638234	11271	123	9754	0
NW_021638235	26102	1821	875	0
NW_021638236	1508	11699	5032	11544
NW_021638237	6248	0	17683	0
NW_021638238	1858	13082	9126	2250
NW_021638239	6624	123	21760	0
NW_021638240	238	795	19062	1672
NW_021638241	3296	0	19098	0
NW_021638242	36944	85537	261731	35560
NW_021638243	31006	90279	174136	23401
NW_021638244	9573	0	15490	0
NW_021638245	51	32557	0	3037
NW_021638246	12143	2148	16466	128
NW_021638247	17085	179	29367	69
NW_021638248	3304	3269	20331	4156
NW_021638249	39	61	11110	14
NW_021638250	14	105	27641	2063
NW_021638251	446	414	24640	160
NW_021638252	654	2995	21048	976
NW_021638253	14109	31659	113231	18671
NW_021638254	15105	88568	29149	38244
NW_021638255	5	0	23763	0
NW_021638256	18350	223	1775	0
NW_021638257	4805	17153	88949	37195
NW_021638258	403	1303	18696	3114
NW_021638259	10621	709	19682	0
NW_021638260	7470	0	18511	0
NW_021638261	2484	22163	0	3374
NW_021638262	11546	153	8830	0
NW_021638263	3990	9285	30384	7236
NW_021638264	28542	6021	5723	0
NW_021638265	4763	3417	31751	2345
NW_021638266	3	616	22678	33
NW_021638267	627	38113	0	639
NW_021638268	82	281	37748	966
NW_021638269	102733	138811	781064	43842
NW_021638270	12655	7609	427732	3799
NW_021638271	190067	705410	1562941	531245
NW_021638272	109938	359449	629149	298956
NW_021638273	1656	15633	16098	6493
NW_021638274	3074	6090	28920	2832
NW_021638275	172	998	35275	0
NW_021638276	35880	103642	496550	107020
NW_021638277	2380	8199	16930	4571
NW_021638278	79275	494992	1299791	237047
NW_021638279	885	0	19920	0
NW_021638280	2558	14342	7426	4225
