Type	MissingReadOrGap	MissingNon-ReadOrGap	Non-MissingReadOrGap	Non-MissingNon-ReadOrGap
NW_021638158	13542	21936	15379	28
NW_021638159	8555	3474	14576	230
NW_021638160	17131	14250	31142	3619
NW_021638161	19690	26988	398149	14967
NW_021638162	17006	50	14921	0
NW_021638163	299	4214	14180	22782
NW_021638164	2417	3091	30070	6448
NW_021638165	4879	10662	22407	2562
NW_021638166	10533	18509	31078	2496
NW_021638167	5524	0	19215	0
NW_021638168	12584	9648	26183	1163
NW_021638169	21330	27574	29681	2570
NW_021638170	4264	29235	3129	139
NW_021638171	11956	8394	32298	45
NW_021638172	42615	36855	334828	6866
NW_021638173	11048	0	18506	0
NW_021638174	11394	0	15362	0
NW_021638175	9563	0	11267	0
NW_021638176	39534	0	17427	0
NW_021638177	3408	39	27156	2103
NW_021638178	0	14484	0	0
NW_021638179	1879	18840	0	904
NW_021638180	3566	775	44767	411
NW_021638181	2269	8805	17630	359
NW_021638182	927	0	45630	0
NW_021638183	2338	23014	16	3266
NW_021638184	23839	74	11060	0
NW_021638185	709	593	25889	1883
NW_021638186	733	0	26364	100
NW_021638187	5311	2693	45432	0
NW_021638188	8504	4697	23130	518
NW_021638189	5646	6199	14140	2686
NW_021638190	756	0	21512	0
NW_021638191	18286	426	2867	0
NW_021638192	0	0	35538	0
NW_021638193	3541	3703	26567	44
NW_021638194	15816	873	30851	0
NW_021638195	4641	10842	17661	675
NW_021638196	33809	148	12125	0
NW_021638197	697	1821	20237	1
NW_021638198	145	2105	39375	5610
NW_021638199	5115	1475	4179	1364
NW_021638200	9389	1869	13372	817
NW_021638201	827	9039	12862	5292
NW_021638202	7652	858	23027	235
NW_021638203	14618	9266	185343	11499
NW_021638204	3335	0	47105	0
NW_021638205	7509	6846	34971	2536
NW_021638206	12018	4887	10106	150
NW_021638207	2158	3998	78359	794
NW_021638208	952	18326	0	2958
NW_021638209	7698	1970	32535	3635
NW_021638210	4227	7344	30165	1650
NW_021638211	21108	372	22542	0
NW_021638212	5293	2245	24561	1318
NW_021638213	1039	229	23348	192
NW_021638214	13276	1147	13532	98
NW_021638215	1342	0	30113	0
NW_021638216	26639	1794	4933	0
NW_021638217	5625	8422	18461	1237
NW_021638218	7862	4146	43094	1749
NW_021638219	1474	767	28986	1036
NW_021638220	375	208	30325	10
NW_021638221	27777	19419	173210	8251
NW_021638222	4916	7396	24084	649
NW_021638223	9560	0	31702	0
NW_021638224	1197	99	54302	4
NW_021638225	82768	58599	315056	369682
NW_021638226	1944	267	25487	7
NW_021638227	2254	40354	0	1127
NW_021638228	6734	0	28479	0
NW_021638229	20985	18322	100751	14595
NW_021638230	5813	97178	0	6085
NW_021638231	22552	270	16975	0
NW_021638232	1274	0	31580	0
NW_021638233	16642	21818	15011	716
NW_021638234	11394	0	9754	0
NW_021638235	27051	872	875	0
NW_021638236	4495	8712	10260	6316
NW_021638237	6248	0	17683	0
NW_021638238	5847	9093	10738	638
NW_021638239	6747	0	21760	0
NW_021638240	636	397	20440	294
NW_021638241	3296	0	19098	0
NW_021638242	66408	56073	287914	9377
NW_021638243	62651	58634	187256	10281
NW_021638244	9573	0	15490	0
NW_021638245	1229	31379	0	3037
NW_021638246	13087	1204	16493	101
NW_021638247	17165	99	29436	0
NW_021638248	4540	2033	22421	2066
NW_021638249	50	50	11124	0
NW_021638250	64	55	28049	1655
NW_021638251	447	413	24789	11
NW_021638252	1429	2220	21348	676
NW_021638253	21847	23921	124309	7593
NW_021638254	36778	66895	51896	15497
NW_021638255	5	0	23763	0
NW_021638256	18573	0	1775	0
NW_021638257	13123	8835	106955	19189
NW_021638258	707	999	20989	821
NW_021638259	10756	574	19682	0
NW_021638260	7470	0	18511	0
NW_021638261	5360	19287	76	3298
NW_021638262	11699	0	8830	0
NW_021638263	6470	6805	34863	2757
NW_021638264	32097	2466	5723	0
NW_021638265	6243	1937	33140	956
NW_021638266	20	599	22711	0
NW_021638267	1155	37585	0	639
NW_021638268	127	236	38552	162
NW_021638269	153149	88395	807765	17141
NW_021638270	15745	4519	430136	1395
NW_021638271	363992	531485	1727742	366444
NW_021638272	217766	251621	682723	245382
NW_021638273	7639	9650	21838	753
NW_021638274	5339	3825	30990	762
NW_021638275	496	674	35275	0
NW_021638276	68216	71306	556173	47397
NW_021638277	3892	6687	18317	3184
NW_021638278	198534	375733	1458389	78449
NW_021638279	885	0	19920	0
NW_021638280	7252	9648	10053	1598
