Type	MissingRead	MissingNon-Read	Non-MissingRead	Non-MissingNon-Read
NW_021638170	4264	29235	3129	139
NW_021638171	11910	8440	32298	45
NW_021638172	42126	37344	334721	6973
NW_021638173	11048	0	18506	0
NW_021638174	11394	0	15362	0
NW_021638175	9563	0	11267	0
NW_021638176	39534	0	17427	0
NW_021638177	3408	39	26747	2512
NW_021638178	0	14484	0	0
NW_021638179	1879	18840	0	904
NW_021638180	3482	859	44767	411
NW_021638181	2269	8805	17630	359
NW_021638182	927	0	45630	0
NW_021638183	2338	23014	16	3266
NW_021638184	23839	74	11060	0
NW_021638185	709	593	25799	1973
NW_021638186	733	0	26364	100
NW_021638187	5311	2693	45432	0
NW_021638188	8504	4697	23130	518
NW_021638189	5635	6210	14129	2697
NW_021638190	756	0	21512	0
NW_021638191	18286	426	2867	0
NW_021638192	0	0	35538	0
NW_021638193	3443	3801	26549	62
NW_021638194	15816	873	30851	0
NW_021638195	4641	10842	17661	675
NW_021638196	33809	148	12125	0
NW_021638197	697	1821	20237	1
NW_021638198	107	2143	39087	5898
NW_021638199	5115	1475	4179	1364
NW_021638200	9389	1869	13372	817
NW_021638201	738	9128	11222	6932
NW_021638202	7652	858	23027	235
NW_021638203	14582	9302	185146	11696
NW_021638204	3335	0	47105	0
NW_021638205	7509	6846	34971	2536
NW_021638206	12018	4887	10106	150
NW_021638207	2158	3998	78359	794
NW_021638208	952	18326	0	2958
NW_021638209	7698	1970	32535	3635
NW_021638210	4227	7344	30165	1650
NW_021638211	21108	372	22542	0
NW_021638212	5293	2245	24561	1318
NW_021638213	1039	229	23348	192
NW_021638214	13276	1147	13532	98
NW_021638215	1342	0	30113	0
NW_021638216	26639	1794	4933	0
NW_021638217	5625	8422	18461	1237
NW_021638218	7862	4146	43028	1815
NW_021638219	1358	883	28986	1036
NW_021638220	345	238	30276	59
NW_021638221	27769	19427	173131	8330
NW_021638222	4916	7396	24084	649
NW_021638223	9560	0	31702	0
NW_021638224	1156	140	54298	8
NW_021638225	82712	58655	314873	369865
NW_021638226	1944	267	25487	7
NW_021638227	2254	40354	0	1127
NW_021638228	6734	0	28479	0
NW_021638229	20985	18322	100662	14684
NW_021638230	5813	97178	0	6085
NW_021638231	22552	270	16975	0
NW_021638232	1274	0	31580	0
NW_021638233	16551	21909	15011	716
NW_021638234	11394	0	9754	0
NW_021638235	27051	872	875	0
NW_021638236	4438	8769	10260	6316
NW_021638237	6248	0	17683	0
NW_021638238	5847	9093	10738	638
NW_021638239	6747	0	21760	0
NW_021638240	636	397	20336	398
NW_021638241	3296	0	19098	0
NW_021638242	66288	56193	287914	9377
NW_021638243	62624	58661	187256	10281
NW_021638244	9573	0	15490	0
NW_021638245	1229	31379	0	3037
NW_021638246	13087	1204	16493	101
NW_021638247	17165	99	29436	0
NW_021638248	4540	2033	22421	2066
NW_021638249	50	50	11124	0
NW_021638250	64	55	28039	1665
NW_021638251	447	413	24789	11
NW_021638252	1429	2220	21348	676
NW_021638253	21847	23921	124309	7593
NW_021638254	36778	66895	51896	15497
NW_021638255	5	0	23763	0
NW_021638256	18573	0	1775	0
NW_021638257	13053	8905	106822	19322
NW_021638258	707	999	20989	821
NW_021638259	10756	574	19682	0
NW_021638260	7470	0	18511	0
NW_021638261	5360	19287	76	3298
NW_021638262	11699	0	8830	0
NW_021638263	6429	6846	34863	2757
NW_021638264	32097	2466	5723	0
NW_021638265	6243	1937	33140	956
NW_021638266	20	599	22711	0
NW_021638267	1155	37585	0	639
NW_021638268	127	236	38552	162
NW_021638269	153078	88466	807765	17141
NW_021638270	15745	4519	430025	1506
NW_021638271	362157	533320	1726913	367273
NW_021638272	217466	251921	682669	245436
NW_021638273	7543	9746	21838	753
NW_021638274	5335	3829	30990	762
NW_021638275	496	674	35275	0
NW_021638276	67639	71883	556060	47510
NW_021638277	3892	6687	18317	3184
NW_021638278	194873	379394	1457457	79381
NW_021638279	885	0	19920	0
NW_021638280	7234	9666	9930	1721
