Type	MissingReadOrGap	MissingNon-ReadOrGap	Non-MissingReadOrGap	Non-MissingNon-ReadOrGap
NW_021638045	2035	2831	23773	761
NW_021638046	8933	6927	29843	4076
NW_021638047	285	2293	24791	6085
NW_021638048	150	172	22858	377
NW_021638049	1504	2792	18182	2869
NW_021638050	1604	24649	76	6821
NW_021638051	2320	0	21583	0
NW_021638052	8830	7729	20509	757
NW_021638053	11761	29	11715	0
NW_021638054	663	825	19687	123
NW_021638055	2122	7646	13645	698
NW_021638056	25563	322	7082	0
NW_021638057	5651	67004	9	2683
NW_021638058	10213	11767	15170	1443
NW_021638059	13091	17904	59155	1945
NW_021638060	1088	862	24718	347
NW_021638061	16257	0	17333	0
NW_021638062	108910	254479	1016157	358175
NW_021638063	13699	7319	423221	439246
NW_021638064	3775	2167	43698	334
NW_021638065	7187	53237	0	6267
NW_021638066	253	309	94147	786
NW_021638067	131134	97715	378624	18345
NW_021638068	13727	4471	29363	167
NW_021638069	8210	5098	39665	1891
NW_021638070	1383	449	26404	0
NW_021638071	33540	812	5916	0
NW_021638072	57927	94804	46387	15580
NW_021638073	7159	2790	26176	1195
NW_021638074	11771	74	27984	0
NW_021638075	2223	1714	40986	339
NW_021638076	1403	21864	0	643
NW_021638077	8510	0	32227	0
NW_021638078	879	2492	48554	1399
NW_021638079	260553	384728	3507690	55391
NW_021638080	3205	22412	0	3111
NW_021638081	5843	1458	24594	186
NW_021638082	2797	2180	32388	415
NW_021638083	35545	792	11173	0
NW_021638084	2026	1809	31062	562
NW_021638085	994	745	53631	676
NW_021638086	24962	56012	23778	5224
NW_021638087	13002	4910	36205	3020
NW_021638088	530	0	59258	24
NW_021638089	2866	13738	20212	347
NW_021638090	19660	0	28259	0
NW_021638091	0	0	25603	0
NW_021638092	4587	1419	31586	0
NW_021638093	19133	447	3930	0
NW_021638094	6536	474	36469	1170
NW_021638095	8958	0	14697	0
NW_021638096	4096	6491	21749	4466
NW_021638097	3681	16885	0	1650
NW_021638098	7543	49	14754	0
NW_021638099	1030	306	20291	2049
NW_021638100	2350	158	44112	789
NW_021638101	2836	3043	33313	175
NW_021638102	1716	1131	46816	17
NW_021638103	3267	4078	18657	1320
NW_021638104	4627	2821	32745	225
NW_021638105	25572	177	1655	0
NW_021638106	4391	6293	12264	371
NW_021638107	1429	68117	0	4311
NW_021638108	1178	16863	0	2202
NW_021638109	7540	1746	24663	0
NW_021638110	13970	36099	38122	3514
NW_021638111	5040	1190	17452	228
NW_021638112	3559	3663	24715	852
NW_021638113	4253	2728	27670	941
NW_021638114	11344	9065	49080	2215
NW_021638115	563	74	24769	0
NW_021638116	61940	33490	635714	10335
NW_021638117	2732	9861	24140	6639
NW_021638118	14238	572	5603	0
NW_021638119	48620	56707	214214	8882
NW_021638120	1959	462	43985	111
NW_021638121	2048	647	56739	443
NW_021638122	2517	673	34821	0
NW_021638123	1903	26597	0	918
NW_021638124	0	0	30793	0
NW_021638125	17754	49	16046	0
NW_021638126	43450	74	40961	0
NW_021638127	7166	4649	43284	1164
NW_021638128	9153	6032	32717	1180
NW_021638129	26310	0	20698	0
NW_021638130	3541	3282	49355	2666
NW_021638131	55678	478	17453	0
NW_021638132	26330	50	48170	0
NW_021638133	17539	20	6562	0
NW_021638134	9571	0	31051	0
NW_021638135	0	0	22046	0
NW_021638136	3723	49044	10	1562
NW_021638137	30	0	26792	0
NW_021638138	13488	0	22063	0
NW_021638139	156754	12209	68121	635
NW_021638140	8480	9843	10422	1810
NW_021638141	1271	0	21462	0
NW_021638142	15273	0	40201	0
NW_021638143	18897	372	5037	0
NW_021638144	12544	31072	6639	5592
NW_021638145	951	20186	0	3004
NW_021638146	8054	12113	147326	7179
NW_021638147	20623	0	18636	0
NW_021638148	2423	1216	18835	1808
NW_021638149	12777	0	19701	0
NW_021638150	1624	200	28854	118
NW_021638151	7427	8511	18434	675
NW_021638152	4936	424	20066	0
NW_021638153	11	0	24920	0
NW_021638154	3671	0	22595	0
NW_021638155	10039	11339	23989	1959
NW_021638156	1753	3252	31403	1166
NW_021638157	349	0	20168	24
NW_021638158	13162	22316	15309	98
NW_021638159	8480	3549	14551	255
NW_021638160	16768	14613	30955	3806
NW_021638161	18701	27977	397343	15773
NW_021638162	17006	50	14921	0
NW_021638163	295	4218	13984	22978
NW_021638164	2317	3191	29846	6672
NW_021638165	4776	10765	22360	2609
NW_021638166	9992	19050	30825	2749
NW_021638167	5524	0	19215	0
NW_021638168	12354	9878	26089	1257
NW_021638169	20580	28324	29556	2695
NW_021638170	3796	29703	3047	221
NW_021638171	11656	8694	32223	120
NW_021638172	41450	38020	334341	7353
NW_021638173	11048	0	18506	0
NW_021638174	11394	0	15362	0
NW_021638175	9514	49	11267	0
NW_021638176	39534	0	17427	0
NW_021638177	3407	40	27081	2178
NW_021638178	0	14484	0	0
NW_021638179	1779	18940	0	904
NW_021638180	3491	850	44691	487
NW_021638181	2060	9014	17590	399
NW_021638182	927	0	45630	0
NW_021638183	2288	23064	16	3266
NW_021638184	23789	124	11060	0
NW_021638185	643	659	25730	2042
NW_021638186	733	0	26339	125
NW_021638187	5161	2843	45432	0
NW_021638188	8306	4895	23104	544
NW_021638189	5470	6375	14016	2810
NW_021638190	756	0	21512	0
NW_021638191	18236	476	2867	0
NW_021638192	0	0	35538	0
NW_021638193	3439	3805	26470	141
NW_021638194	15791	898	30851	0
NW_021638195	4580	10903	17622	714
NW_021638196	33761	196	12125	0
NW_021638197	655	1863	20229	9
NW_021638198	123	2127	39173	5812
NW_021638199	4938	1652	4083	1460
NW_021638200	9263	1995	13324	865
NW_021638201	797	9069	12768	5386
NW_021638202	7650	860	22979	283
NW_021638203	14291	9593	184597	12245
NW_021638204	3335	0	47105	0
NW_021638205	7245	7110	34836	2671
NW_021638206	11686	5219	10013	243
NW_021638207	2033	4123	78236	917
NW_021638208	902	18376	0	2958
NW_021638209	7595	2073	32114	4056
NW_021638210	4036	7535	30058	1757
NW_021638211	21083	397	22542	0
NW_021638212	5239	2299	24490	1389
NW_021638213	993	275	23319	221
NW_021638214	13151	1272	13482	148
NW_021638215	1342	0	30113	0
NW_021638216	26490	1943	4933	0
NW_021638217	5359	8688	18354	1344
NW_021638218	7662	4346	42994	1849
NW_021638219	1417	824	28888	1134
NW_021638220	368	215	30317	18
NW_021638221	26920	20276	172451	9010
NW_021638222	4834	7478	24066	667
NW_021638223	9560	0	31702	0
NW_021638224	1197	99	54277	29
NW_021638225	80492	60875	314090	370648
NW_021638226	1944	267	25487	7
NW_021638227	2204	40404	0	1127
NW_021638228	6734	0	28479	0
NW_021638229	20381	18926	100032	15314
NW_021638230	5488	97503	0	6085
NW_021638231	22502	320	16975	0
NW_021638232	1274	0	31580	0
NW_021638233	15912	22548	14891	836
NW_021638234	11394	0	9754	0
NW_021638235	27051	872	875	0
NW_021638236	4325	8882	9880	6696
NW_021638237	6248	0	17683	0
NW_021638238	5669	9271	10666	710
NW_021638239	6747	0	21760	0
NW_021638240	586	447	20440	294
NW_021638241	3296	0	19098	0
NW_021638242	64671	57810	287106	10185
NW_021638243	60551	60734	186431	11106
NW_021638244	9573	0	15490	0
NW_021638245	1129	31479	0	3037
NW_021638246	12987	1304	16493	101
NW_021638247	17140	124	29436	0
NW_021638248	4452	2121	22259	2228
NW_021638249	50	50	11124	0
NW_021638250	64	55	27999	1705
NW_021638251	446	414	24765	35
NW_021638252	1379	2270	21323	701
NW_021638253	21212	24556	123671	8231
NW_021638254	35497	68176	51153	16240
NW_021638255	5	0	23763	0
NW_021638256	18549	24	1775	0
NW_021638257	12740	9218	106220	19924
NW_021638258	706	1000	20940	870
NW_021638259	10720	610	19682	0
NW_021638260	7470	0	18511	0
NW_021638261	5185	19462	76	3298
NW_021638262	11699	0	8830	0
NW_021638263	6359	6916	34674	2946
NW_021638264	31749	2814	5723	0
NW_021638265	6099	2081	33110	986
NW_021638266	20	599	22711	0
NW_021638267	1080	37660	0	639
NW_021638268	127	236	38502	212
NW_021638269	149445	92099	806104	18802
NW_021638270	15420	4844	430053	1478
NW_021638271	352532	542945	1722438	371748
NW_021638272	210454	258933	680560	247545
NW_021638273	7063	10226	21602	989
NW_021638274	5227	3937	30887	865
NW_021638275	471	699	35275	0
NW_021638276	66256	73266	553818	49752
NW_021638277	3742	6837	18192	3309
NW_021638278	189991	384276	1452882	83956
NW_021638279	885	0	19920	0
NW_021638280	7002	9898	9988	1663
