Type	MissingReadAndGap	MissingNon-ReadAndGap	Non-MissingReadAndGap	Non-MissingNon-ReadAndGap
NW_021638097	0	20566	0	1650
NW_021638098	0	7592	0	14754
NW_021638099	0	1336	351	21989
NW_021638100	2	2506	4848	40053
NW_021638101	165	5714	28	33460
NW_021638102	0	2847	1702	45131
NW_021638103	0	7345	62	19915
NW_021638104	91	7357	4085	28885
NW_021638105	0	25749	0	1655
NW_021638106	0	10684	0	12635
NW_021638107	0	69546	0	4311
NW_021638108	0	18041	0	2202
NW_021638109	0	9286	0	24663
NW_021638110	0	50069	1243	40393
NW_021638111	67	6163	78	17602
NW_021638112	25	7197	2631	22936
NW_021638113	0	6981	1648	26963
NW_021638114	0	20409	538	50757
NW_021638115	0	637	1753	23016
NW_021638116	532	94898	33838	612211
NW_021638117	135	12458	0	30779
NW_021638118	0	14810	0	5603
NW_021638119	129	105198	13160	209936
NW_021638120	0	2421	3094	41002
NW_021638121	0	2695	13850	43332
NW_021638122	112	3078	1477	33344
NW_021638123	0	28500	0	918
NW_021638124	0	0	3983	26810
NW_021638125	0	17803	0	16046
NW_021638126	0	43524	0	40961
NW_021638127	12	11803	4102	40346
NW_021638128	0	15185	1156	32741
NW_021638129	0	26310	0	20698
NW_021638130	5	6818	3615	48406
NW_021638131	0	56156	0	17453
NW_021638132	0	26380	0	48170
NW_021638133	0	17559	0	6562
NW_021638134	0	9571	0	31051
NW_021638135	0	0	5039	17007
NW_021638136	0	52767	0	1572
NW_021638137	0	30	89	26703
NW_021638138	0	13488	0	22063
NW_021638139	314	168649	210	68546
NW_021638140	0	18323	0	12232
NW_021638141	0	1271	0	21462
NW_021638142	0	15273	0	40201
NW_021638143	0	19269	0	5037
NW_021638144	0	43616	0	12231
NW_021638145	0	21137	0	3004
NW_021638146	164	20003	3527	150978
NW_021638147	0	20623	0	18636
NW_021638148	0	3639	76	20567
NW_021638149	0	12777	0	19701
NW_021638150	0	1824	1757	27215
NW_021638151	0	15938	167	18942
NW_021638152	0	5360	0	20066
NW_021638153	0	11	5696	19224
NW_021638154	0	3671	0	22595
NW_021638155	0	21378	644	25304
NW_021638156	0	5005	1563	31006
NW_021638157	0	349	755	19437
NW_021638158	0	35478	1327	14080
NW_021638159	0	12029	10	14796
NW_021638160	117	31264	0	34761
NW_021638161	186	46492	4983	408133
NW_021638162	0	17056	0	14921
NW_021638163	0	4513	2757	34205
NW_021638164	44	5464	1238	35280
NW_021638165	0	15541	634	24335
NW_021638166	0	29042	5	33569
NW_021638167	0	5524	0	19215
NW_021638168	0	22232	1102	26244
NW_021638169	0	48904	20	32231
NW_021638170	0	33499	0	3268
NW_021638171	18	20332	46	32297
NW_021638172	1355	78115	5291	336403
NW_021638173	0	11048	0	18506
NW_021638174	0	11394	0	15362
NW_021638175	0	9563	0	11267
NW_021638176	0	39534	0	17427
NW_021638177	0	3447	4307	24952
NW_021638178	0	14484	0	0
NW_021638179	0	20719	0	904
NW_021638180	214	4127	601	44577
NW_021638181	0	11074	226	17763
NW_021638182	0	927	66	45564
NW_021638183	0	25352	0	3282
NW_021638184	0	23913	0	11060
NW_021638185	0	1302	1159	26613
NW_021638186	0	733	0	26464
NW_021638187	9	7995	10522	34910
NW_021638188	0	13201	20	23628
NW_021638189	69	11776	0	16826
NW_021638190	10	746	1783	19729
NW_021638191	0	18712	0	2867
NW_021638192	0	0	5221	30317
NW_021638193	5	7239	6332	20279
NW_021638194	0	16689	0	30851
NW_021638195	5	15478	18	18318
NW_021638196	0	33957	0	12125
NW_021638197	0	2518	1039	19199
NW_021638198	0	2250	2085	42900
NW_021638199	0	6590	0	5543
NW_021638200	0	11258	537	13652
NW_021638201	4	9862	3574	14580
NW_021638202	0	8510	1062	22200
NW_021638203	374	23510	6195	190647
NW_021638204	0	3335	65	47040
NW_021638205	0	14355	52	37455
NW_021638206	0	16905	0	10256
NW_021638207	0	6156	6776	72377
NW_021638208	0	19278	0	2958
NW_021638209	140	9528	68	36102
NW_021638210	0	11571	3111	28704
NW_021638211	80	21400	1101	21441
NW_021638212	0	7538	4722	21157
NW_021638213	0	1268	3112	20428
NW_021638214	61	14362	1077	12553
NW_021638215	2	1340	2766	27347
NW_021638216	0	28433	0	4933
NW_021638217	73	13974	742	18956
NW_021638218	3	12005	5549	39294
NW_021638219	216	2025	0	30022
NW_021638220	169	414	198	30137
NW_021638221	64	47132	8832	172629
NW_021638222	0	12312	56	24677
NW_021638223	0	9560	0	31702
NW_021638224	33	1263	3962	50344
NW_021638225	534	140833	5357	679381
NW_021638226	0	2211	2602	22892
NW_021638227	0	42608	0	1127
NW_021638228	0	6734	0	28479
NW_021638229	0	39307	5262	110084
NW_021638230	0	102991	0	6085
NW_021638231	0	22822	0	16975
NW_021638232	0	1274	3665	27915
NW_021638233	87	38373	323	15404
NW_021638234	0	11394	0	9754
NW_021638235	0	27923	0	875
NW_021638236	0	13207	7	16569
NW_021638237	0	6248	0	17683
NW_021638238	5	14935	3083	8293
NW_021638239	0	6747	0	21760
NW_021638240	0	1033	6	20728
NW_021638241	0	3296	0	19098
NW_021638242	176	122305	15626	281665
NW_021638243	141	121144	13001	184536
NW_021638244	0	9573	0	15490
NW_021638245	0	32608	0	3037
NW_021638246	80	14211	1077	15517
NW_021638247	3	17261	150	29286
NW_021638248	0	6573	1708	22779
NW_021638249	0	100	1438	9686
NW_021638250	0	119	509	29195
NW_021638251	0	860	0	24800
NW_021638252	0	3649	6289	15735
NW_021638253	0	45768	4451	127451
NW_021638254	5	103668	3096	64297
NW_021638255	0	5	2616	21147
NW_021638256	0	18573	0	1775
NW_021638257	57	21901	735	125409
NW_021638258	0	1706	3335	18475
NW_021638259	0	11330	0	19682
NW_021638260	0	7470	0	18511
NW_021638261	0	24647	0	3374
NW_021638262	0	11699	0	8830
NW_021638263	173	13102	0	37620
NW_021638264	0	34563	0	5723
NW_021638265	0	8180	3567	30529
NW_021638266	0	619	2615	20096
NW_021638267	0	38740	0	639
NW_021638268	0	363	5012	33702
NW_021638269	288	241256	41592	783314
NW_021638270	11	20253	42384	389147
NW_021638271	1789	893688	56592	2037594
NW_021638272	396	468991	55261	872844
NW_021638273	26	17263	5	22586
NW_021638274	49	9115	3075	28677
NW_021638275	0	1170	4319	30956
NW_021638276	370	139152	21020	582550
NW_021638277	0	10579	40	21461
NW_021638278	4503	569764	58511	1478327
NW_021638279	0	885	0	19920
NW_021638280	0	16900	86	11565
